country,year,countryyear,iso3c,iso3n,cowcode,hrmicode,disap_mean,disap_sd,disap_lo,disap_hi,exkill_mean,exkill_sd,exkill_lo,exkill_hi,arrest_mean,arrest_sd,arrest_lo,arrest_hi,tort_mean,tort_sd,tort_lo,tort_hi,dpex_mean,dpex_sd,dpex_lo,dpex_hi,express_mean,express_sd,express_lo,express_hi,polpart_mean,polpart_sd,polpart_lo,polpart_hi,assem_mean,assem_sd,assem_lo,assem_hi,rel_mean,rel_sd,rel_lo,rel_hi,physint_mean,physint_sd,physint_lo,physint_hi,empower_mean,empower_sd,empower_lo,empower_hi
PNG,2018,PNG2018,PNG,598,910,39,6.5976152,.92090577,5.4188557,7.7763748,6.2857585,.44848704,5.7116952,6.8598218,6.3739028,.60058236,5.6051574,7.1426482,4.8668694,.50050336,4.2262254,5.5075135,10,0,10,10,6.2212672,.47812575,5.6092663,6.8332682,6.0947514,.5957213,5.3322282,6.8572745,6.7604494,.49015805,6.1330471,7.3878517,,,,,5.423254,.88871008,4.2857051,6.5608029,6.3778949,.69318914,5.490613,7.2651768
PNG,2019,PNG2019,PNG,598,910,39,6.6532402,.52697492,5.9787121,7.3277683,6.5557866,.42780575,6.0081954,7.1033778,5.989789,.5393973,5.2993603,6.6802177,5.1510673,.31029025,4.7538958,5.5482388,10,0,10,10,6.1213222,.37704575,5.6387038,6.6039405,6.5766864,.41164657,6.0497789,7.1035938,7.3691168,.35195181,6.9186187,7.8196149,,,,,5.5509315,.94882607,4.3364339,6.765429,6.6860132,.66500604,5.8348055,7.537221
PNG,2020,PNG2020,PNG,598,910,39,7.271224,.53835303,6.5821323,7.9603157,7.1179752,.55409163,6.4087381,7.8272123,5.8884478,.71660018,4.9711995,6.805696,4.5502853,.38924509,4.0520515,5.0485191,10,0,10,10,5.997714,.43145385,5.4454532,6.5499749,6.8415565,.38718101,6.3459649,7.3371482,6.8375597,.43325466,6.2829938,7.3921256,,,,,6.1610904,.77388853,5.1705132,7.1516676,6.3931966,.67110223,5.5341859,7.2522073
PNG,2021,PNG2021,PNG,598,910,39,7.6573753,.61677223,6.867907,8.4468441,6.0406494,.73087829,5.1051254,6.9761734,6.7191472,.68918633,5.8369889,7.6013055,4.6243753,.53122604,3.944406,5.3043447,10,0,10,10,5.6791639,.59827167,4.9133763,6.4449515,6.3283887,.57470363,5.5927682,7.0640092,6.4139652,.42262068,5.8730106,6.9549198,,,,,6.0668936,.83097696,5.003243,7.1305442,5.9730883,.68070614,5.1017842,6.8443923
PNG,2022,PNG2022,PNG,598,910,39,7.6392045,.39225647,7.1371164,8.1412926,5.8720975,.61457157,5.0854459,6.6587491,6.2468548,.74849689,5.2887788,7.2049308,4.6865535,.46243683,4.0946345,5.2784724,10,0,10,10,6.6724415,.79204404,5.6586251,7.6862578,5.554553,.7847932,4.5500178,6.5590882,4.9490709,.65176845,4.1148071,5.7833347,9.525528,1.9346125,7.0492239,12.001832,5.7556996,.83602977,4.6855817,6.8258176,5.6712866,.75657159,4.7028751,6.639698
PNG,2023,PNG2023,PNG,598,910,39,7.2562504,.66377771,6.4066148,8.1058855,5.7816343,1.0463734,4.4422765,7.1209922,6.3535132,1.0192828,5.0488315,7.658195,4.8489065,.68704373,3.9694905,5.7283225,10,0,10,10,6.6873417,.80684799,5.6545763,7.7201071,5.3150439,1.0432969,3.9796238,6.6504641,5.7796202,.94389862,4.5714297,6.9878106,9.5208197,1.8383138,7.167778,11.873861,5.7477636,.87841576,4.6233916,6.8721356,6.1993566,.85702443,5.1023655,7.2963476
Hong Kong,2019,HKG2019,HKG,344,,40,7.8940091,.48016009,7.2794042,8.5086136,8.7304106,.37307614,8.2528734,9.2079477,3.4321578,.73974508,2.4852841,4.3790317,5.0329657,.47764331,4.4215822,5.6443491,10,0,10,10,4.3077068,.30011392,3.9235611,4.6918526,3.7505884,.28532821,3.3853683,4.1158085,4.1943436,.29067785,3.8222759,4.566411,,,,,6.743134,.76463455,5.7644019,7.7218661,3.7748232,.6915704,2.8896132,4.6600332
Hong Kong,2020,HKG2020,HKG,344,,40,7.5609727,.30593023,7.1693821,7.9525633,8.3013954,.24717146,7.9850159,8.617775,3.9095678,.25656193,3.5811687,4.237967,5.6171527,.26114279,5.2828898,5.9514155,10,0,10,10,3.1251659,.20776649,2.8592248,3.3911071,2.7794809,.19426335,2.5308239,3.0281379,2.9371181,.17618343,2.7116032,3.1626329,,,,,6.7538238,.74065906,5.8057799,7.7018676,2.508811,.65357482,1.6722353,3.3453867
Hong Kong,2021,HKG2021,HKG,344,,40,7.5442581,.25552663,7.2171841,7.8713322,8.3298254,.20430432,8.0683155,8.5913353,4.4061337,.24454421,4.0931172,4.7191501,6.1922255,.24579944,5.8776021,6.5068488,10,0,10,10,2.7992423,.17235053,2.5786335,3.019851,2.5548239,.18395998,2.319355,2.7902927,2.3985345,.16787902,2.1836493,2.6134198,7.4308443,.50543237,6.7838907,8.0777979,6.7638803,.73081905,5.8284321,7.6993284,2.1927021,.64612544,1.3656615,3.0197427
Hong Kong,2022,HKG2022,HKG,344,,40,7.4850311,.23656377,7.1822295,7.7878327,8.0982876,.21553567,7.822402,8.3741732,5.0350332,.30904675,4.6394534,5.430613,6.0174184,.32632267,5.5997252,6.4351115,10,0,10,10,3.0019791,.19284236,2.7551408,3.2488174,2.5685108,.21109971,2.2983031,2.8387184,2.4472766,.20188184,2.1888678,2.7056854,7.3363566,.36327267,6.8713675,7.8013458,6.5620694,.69794118,5.6687045,7.4554343,2.4668994,.64810812,1.637321,3.2964778
Hong Kong,2023,HKG2023,HKG,344,,40,7.2240901,.4035064,6.707602,7.7405782,7.7566319,.34927869,7.3095551,8.2037086,4.6813283,.47144812,4.0778747,5.2847819,5.1425672,.47487384,4.5347285,5.7504058,10,0,10,10,2.9697218,.41607031,2.4371519,3.5022917,2.2481091,.43177077,1.6954426,2.8007758,2.2681415,.34501714,1.8265196,2.7097635,6.8654957,.53418767,6.1817355,7.5492558,6.2892923,.78213829,5.2881556,7.2904291,2.1579492,.72336608,1.2320406,3.0838578
Malaysia,2019,MYS2019,MYS,458,820,41,7.8718562,.38068092,7.3845844,8.359128,7.021853,.32794529,6.6020832,7.4416227,6.1072607,.4518995,5.5288296,6.6856918,5.1555314,.3256698,4.7386742,5.5723886,10,0,10,10,5.140502,.48767161,4.5162821,5.7647219,6.2796373,.42442197,5.7363772,6.8228974,5.9733386,.454171,5.3919997,6.5546775,,,,,6.5350738,.7648139,5.5561118,7.5140357,5.6728368,.70221883,4.7739968,6.5716767
Malaysia,2020,MYS2020,MYS,458,820,41,8.4306755,.30429909,8.041173,8.820178,7.3219323,.27920112,6.9645548,7.6793098,5.8210931,.38516638,5.3280802,6.314106,5.1550083,.2923744,4.7807689,5.5292478,10,0,10,10,3.8114145,.20798977,3.5451875,4.0776415,4.6231961,.56756085,3.8967183,5.3496742,3.833163,.2895138,3.4625854,4.2037406,,,,,6.7776194,.75070125,5.8167219,7.7385168,3.7731631,.67091095,2.914397,4.6319289
Malaysia,2021,MYS2021,MYS,458,820,41,8.2873535,.2899726,7.9161887,8.6585188,7.4169807,.3921738,6.9149981,7.9189634,6.0802298,.37909579,5.5949869,6.5654726,5.3459001,.31138241,4.9473305,5.7444696,10,0,10,10,3.748878,.31174797,3.3498406,4.1479154,5.7800031,.38765314,5.2838073,6.2761989,3.7264345,.34536728,3.2843645,4.1685047,,,,,6.9185843,.76482606,5.9396071,7.8975616,4.0888629,.69663507,3.19717,4.980556
